run_at,commit,bench_id,kind,product_type,outcome,completed,clean,failure_cause,final_stage,duration_seconds,repair_attempts,repairs_by_gate,gates_passed,gates_failed,cli_calls,cli_seconds,cli_timeouts,cost_usd,output_tokens,cli_max_budget_ratio,models,artifacts,delivery_report,container_http_200,notes
20260817T174320Z,40a8878,b01-profile-card,static_page,static_page,succeeded,1,1,,completed,119.0,0,,1,0,1,105.0,,,,0.07,static_page_build=sonnet,4,1,0,bench-b01-profile-card-20260817T174320Z.json
20260817T174534Z,40a8878,b02-pricing-page,static_page,static_page,succeeded,1,1,,completed,257.3,0,,1,0,1,244.0,,,,0.163,static_page_build=sonnet,4,1,0,bench-b02-pricing-page-20260817T174534Z.json
20260817T175110Z,ba196f0,b01-profile-card,static_page,static_page,succeeded,1,1,,completed,121.8,0,,1,0,1,108.0,,,,0.072,static_page_build=sonnet,4,1,0,bench-b01-profile-card-20260817T175110Z.json
20260817T184513Z,da2b043,b06-reading-journal,realistic_app,web_app,succeeded,1,0,,completed,1272.0,3,core_feature/qa=1;ui_shell/visual=2,6,0,5,1153.0,,5.144,100208,0.433,ui_shell=sonnet;core_feature=sonnet,4,1,1,bench-b06-reading-journal-20260817T184513Z.json
20260818T070435Z,cc5bc6c,b06-reading-journal,realistic_app,web_app,succeeded,1,1,,completed,1256.1,0,,6,0,2,1167.0,,5.457,95126,0.547,ui_shell=sonnet;core_feature=sonnet,4,1,1,bench-b06-reading-journal-20260818T070435Z.json
20260823T102954Z,c3afd01,b02-pricing-page,static_page,static_page,not_started,0,0,environment,,0,0,,,,,,,,,,,,,,"readiness blocked: [{'code': 'workspace_root_unavailable', 'message': 'Choose an existing project workspace root before starting production execution.', 'action': 'Open Settings', 'severity': 'blocking'}]"
20260823T103005Z,c3afd01,b06-reading-journal,realistic_app,web_app,not_started,0,0,environment,,0,0,,,,,,,,,,,,,,"readiness blocked: [{'code': 'workspace_root_unavailable', 'message': 'Choose an existing project workspace root before starting production execution.', 'action': 'Open Settings', 'severity': 'blocking'}]"
20260823T103010Z,c3afd01,b03-focus-timer,small_app,web_app,not_started,0,0,environment,,0,0,,,,,,,,,,,,,,"readiness blocked: [{'code': 'workspace_root_unavailable', 'message': 'Choose an existing project workspace root before starting production execution.', 'action': 'Open Settings', 'severity': 'blocking'}]"
20260823T103232Z,36f5470,b02-pricing-page,static_page,static_page,succeeded,1,1,,completed,117.3,0,,1,0,1,102.0,,0.349,10430,0.068,static_page_build=sonnet,5,1,0,bench-b02-pricing-page-20260823T103232Z.json
20260823T103450Z,36f5470,b06-reading-journal,realistic_app,web_app,qa_failed,0,0,generated_code,ui_shell,1666.1,2,ui_shell/visual=2,2,1,2,1158.0,,6.337,84143,0.669,ui_shell=sonnet,0,0,0,bench-b06-reading-journal-20260823T103450Z.json
20260823T110249Z,36f5470,b03-focus-timer,small_app,web_app,failed,0,0,provider,ui_shell,4.1,0,,0,1,1,2.0,,0.0,0,0.001,ui_shell=opus,0,0,0,bench-b03-focus-timer-20260823T110249Z.json
20260826T095856Z,2e995fd,b02-pricing-page,static_page,static_page,succeeded,1,1,,completed,335.2,0,,1,0,1,319.0,0,1.171,29182,0.213,static_page_build=sonnet,5,1,0,bench-b02-pricing-page-20260826T095856Z.json
20260826T100449Z,2e995fd,b06-reading-journal,realistic_app,web_app,succeeded,1,0,,completed,2154.8,4,core_feature/qa=2;ui_shell/visual=2,6,0,6,1919.0,1,6.638,111796,1.009,ui_shell=sonnet;core_feature=sonnet,6,1,1,bench-b06-reading-journal-20260826T100449Z.json
20260826T104057Z,2e995fd,b03-focus-timer,small_app,web_app,failed,0,0,provider,ui_shell,372.8,0,,0,1,1,371.0,0,1.435,31474,0.247,ui_shell=opus,0,0,0,bench-b03-focus-timer-20260826T104057Z.json
20260826T144021Z,8fa1abc,b02-pricing-page,static_page,static_page,succeeded,1,1,,completed,379.2,0,,1,0,1,362.0,0,1.308,33229,0.241,static_page_build=sonnet,5,1,0,bench-b02-pricing-page-20260826T144021Z.json
20260826T144703Z,8fa1abc,b06-reading-journal,realistic_app,web_app,qa_failed,0,0,generated_code,ui_shell,2047.2,2,ui_shell/visual=2,2,1,3,1978.0,1,6.377,121120,1.009,ui_shell=sonnet,0,0,0,bench-b06-reading-journal-20260826T144703Z.json
20260826T152125Z,8fa1abc,b03-focus-timer,small_app,web_app,qa_failed,0,0,generated_code,ui_shell,1743.5,2,ui_shell/visual=2,2,1,3,1681.0,0,8.904,38889,0.807,ui_shell=opus,0,0,0,bench-b03-focus-timer-20260826T152125Z.json
20260826T200054Z,04a2b93,b02-pricing-page,static_page,static_page,succeeded,1,1,,completed,131.1,0,,1,0,1,116.0,0,0.446,12043,0.077,static_page_build=sonnet,5,1,0,bench-b02-pricing-page-20260826T200054Z.json
20260826T200329Z,04a2b93,b06-reading-journal,realistic_app,web_app,qa_failed,0,0,generated_code,ui_shell,1612.1,2,ui_shell/visual=2,2,1,3,1539.0,2,3.055,62853,1.009,ui_shell=sonnet,0,0,0,bench-b06-reading-journal-20260826T200329Z.json
20260826T203035Z,04a2b93,b03-focus-timer,small_app,web_app,succeeded,1,0,,completed,1875.0,2,ui_shell/visual=2,6,0,4,1750.0,0,8.567,114996,0.633,ui_shell=opus;core_feature=opus,6,1,1,bench-b03-focus-timer-20260826T203035Z.json
